character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
腾,take flight,,,2904,,téng,flesh + quarter + horse,⿰ (left-right),⿰月𱅑,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">囧眷－目</span> <span style=""color:#666"">quarter</span><br><span style=""color:#1a5276"">马</span> <span style=""color:#666"">horse</span>",TH: 騰 | JP: 騰,RSH,RSH2::L53
腿,leg,,,1150,,tuǐ,flesh + retreat,⿰ (left-right),⿰月退,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">退</span> <span style=""color:#666"">retreat</span>",,RSH RTH,RSH1::L37
膀,upper arm,,,1733,,bǎng / bàng / pāng / páng,flesh + Magellan,⿰ (left-right),⿰月旁,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">囧旁</span> <span style=""color:#666"">Magellan</span>",,RSH RTH,RSH2::L19
膊,shoulder to arm,,,2797,,bó,flesh + gummed label,⿰ (left-right),⿰月尃,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">尃</span> <span style=""color:#666"">gummed label</span>",,RSH,RSH2::L48
膏,ointment,,,1636,,gāo / gào,Eiffel Tower + flesh,⿳ (top-mid-bottom),⿳{87}口⺝,"<span style=""color:#1a5276"">囧高</span> <span style=""color:#666"">Eiffel Tower</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,RSH RTH RTK,RSH2::L14
膛,chest,,,1958,,táng,flesh + main room,⿰ (left-right),⿰月堂,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">堂</span> <span style=""color:#666"">main room</span>",,RSH RTH,RSH2::L24
膜,membrane,,,1584,,mó,flesh + graveyard,⿰ (left-right),⿰月莫,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">莫</span> <span style=""color:#666"">nobody</span> <span style=""color:#999"">(alias: graveyard)</span>",,RSH RTH RTK,RSH2::L10
膝,knees,,,2025,,xī,flesh + Baron von Rumpelbrella,⿰ (left-right),⿰月桼,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">桼</span> <span style=""color:#666"">Baron von Rumpelbrella</span>",,RSH RTH RTK,RSH2::L25
膨,puffy,,,2704,,péng,flesh + drum + rooster tail,⿰ (left-right),⿰月彭,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">壴</span> <span style=""color:#666"">drum</span><br><span style=""color:#1a5276"">彡</span> <span style=""color:#666"">rooster tail</span>",,RSH RTH RTK,RSH2::L44
臂,arm,,,2556,,bì,hot sauce + flesh,⿱ (top-bottom),⿱辟⺝,"<span style=""color:#1a5276"">辟</span> <span style=""color:#666"">repudiate</span> <span style=""color:#999"">(alias: hot sauce)</span><br><span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span>",,RSH RTH,RSH2::L38
臣,feudal official,underling,,731,,chén,box + walking stick + {50} + walking stick,⿷ (surround-open-right),⿷匚⿳丨{50}丨,"<span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L24 primitive
自,oneself,nose · nostrils,,33,,zì,a drop of + eye,⿱ (top-bottom),⿱㇒目,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span>",,RSH RTH RTK,RSH1::L03 primitive
臭,stinking,,,250,,chòu / xiù,chihuahua + nose,⿱ (top-bottom),⿱自犬,"<span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span><br><span style=""color:#1a5276"">自</span> <span style=""color:#666"">oneself</span> <span style=""color:#999"">(alias: nose)</span>",,RSH RTH RTK,RSH1::L11
至,until,,,678,,zhì,wall + soil,⿱ (top-bottom),⿱𠫔土,"<span style=""color:#1a5276"">囧会－亼</span> <span style=""color:#666"">wall</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span>",,RSH RTH RTK,RSH1::L22
致,bring about,,,1916,,zhì,until + taskmaster,⿰ (left-right),⿰至攵,"<span style=""color:#1a5276"">至</span> <span style=""color:#666"">until</span><br><span style=""color:#1a5276"">攵</span> <span style=""color:#666"">taskmaster</span>",,RSH RTH RTK,RSH2::L22
臼,mortar,,,,,,{112} + floor + floor,⿴ (surround),⿴{112}⿰一一,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RTK RSH RTH,RSH2::L55 primitive
臽,pothole,,,,,xiàn,mortar + bound up,⿱ (top-bottom),⿱⺈臼,"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span>",,RSH RTH,RSH2::L55 primitive
舀,scoop,,,,,yǎo,claw + mortar,⿱ (top-bottom),⿱爫臼,"<span style=""color:#1a5276"">爪</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span>",,RSH RTH,RSH2::L55 primitive
舅,mother's brother,,,2961,,jiù,mortar + male,⿱ (top-bottom),⿱臼男,"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">男</span> <span style=""color:#666"">male</span>",,RSH RTH RTK,RSH2::L55
舆,popular,,,2459,,yú,zipper + car,⿳ (top-mid-bottom),⿳⿴𦥑车一八,"<span style=""color:#1a5276"">囧舆－车</span> <span style=""color:#666"">zipper</span><br><span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span>",TH: 輿 | JP: 輿,RSH,RSH2::L36
舌,tongue,,,40,,shé,mouth + thousand,⿱ (top-bottom),⿱千口,"<span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span><br><span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span>",,RSH RTH RTK,RSH1::L03
舍,abode,,,1599,,shě / shè,meeting + ancient,⿱ (top-bottom),⿱𠆢⿱干口,"<span style=""color:#1a5276"">亼</span> <span style=""color:#666"">meeting</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",JP: 舎,RSH RTH,RSH2::L12
舒,relax,,,2264,,shū,abode + bestow,⿰ (left-right),⿰舍予,"<span style=""color:#1a5276"">舍</span> <span style=""color:#666"">abode</span><br><span style=""color:#1a5276"">予</span> <span style=""color:#666"">bestow</span> <span style=""color:#999"">(alias: ceremonial spear)</span>",,RSH RTH,RSH2::L32
舛,sunglasses,,,,,chuǎn,evening + monocle,⿰ (left-right),⿰夕㐄,"<span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">年</span> <span style=""color:#666"">year</span> <span style=""color:#999"">(alias: monocle)</span>",,RSH RTH RTK,RSH2::L54 primitive
舞,dance,oaken tub,,1344,,wǔ,reclining + evening + monocle,⿱ (top-bottom),⿱{56}舛,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">夕</span> <span style=""color:#666"">evening</span><br><span style=""color:#1a5276"">年</span> <span style=""color:#666"">year</span> <span style=""color:#999"">(alias: monocle)</span>",,RSH RTH RTK,RSH1::L45 primitive
舟,boat,,,1394,,zhōu,a drop of + glass cover,⿻ (overlaid),⿻𠔾⿱丶丶,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span>",,RSH RTH RTK,RSH1::L49
航,navigate,,,2822,,háng,boat + whirlwind,⿰ (left-right),⿰舟亢,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">亢</span> <span style=""color:#666"">whirlwind</span>",,RSH RTH RTK,RSH2::L49
般,sort,,,1396,,pán / bān,boat + missile,⿰ (left-right),⿰舟殳,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">殳</span> <span style=""color:#666"">missile</span>",,RSH RTH RTK,RSH1::L49
舰,warship,,,2821,,jiàn,boat + see,⿰ (left-right),⿰舟见,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">见</span> <span style=""color:#666"">see</span>",TH: 艦 | JP: 艦,RSH,RSH2::L49
舱,ship's cabin,,,2824,,cāng,boat + storehouse,⿰ (left-right),⿰舟仓,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span>",TH: 艙 | JP: 艙,RSH,RSH2::L49
舵,rudder,,,2823,,duò,boat + it,⿰ (left-right),⿰舟它,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">它</span> <span style=""color:#666"">it</span>",,RSH RTK,RSH2::L49
舶,liner,,,2820,,bó,boat + dove,⿰ (left-right),⿰舟白,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: dove)</span>",,RSH RTH RTK,RSH2::L49
船,ship,,,1395,,chuán,boat + belch,⿰ (left-right),⿰舟⿱𠘧口,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">囧船－舟</span> <span style=""color:#666"">belch</span>",,RSH RTH RTK,RSH1::L49
艇,light boat,,,2825,,tǐng,boat + royal court,⿰ (left-right),⿰舟廷,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">廷</span> <span style=""color:#666"">royal court</span>",,RSH RTH RTK,RSH2::L49
艘,vessels,,,2968,,sōu,boat + cake mixer,⿰ (left-right),⿰舟叟,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",,RSH RTH RTK,RSH2::L55
艮,silver,,,,,gèn / gěn,𠄌 + {50} + floor + {24},⿸ (top-left-wrap),⿸⿰𠄌𫜹{24},"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",,RSH RTH RTK,RSH1::L37 primitive
良,high-quality,halo,,1153,,liáng,a drop of + silver,⿱ (top-bottom),⿱丶艮,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",,RSH RTH RTK,RSH1::L37 primitive
艰,arduous,,,2508,,jiān,crotch + silver,⿰ (left-right),⿰又艮,"<span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: crotch)</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",TH: 艱 | JP: 艱,RSH,RSH2::L37
色,color,,,1332,,sè / shǎi,bound up + mosaic,⿱ (top-bottom),⿱⺈巴,"<span style=""color:#1a5276"">勹</span> <span style=""color:#666"">bound up</span><br><span style=""color:#1a5276"">巴</span> <span style=""color:#666"">crust</span> <span style=""color:#999"">(alias: mosaic)</span>",,RSH RTH RTK,RSH1::L44
艳,gorgeous,,,1334,,yàn,bushes + color,⿰ (left-right),⿰丰色,"<span style=""color:#1a5276"">丰</span> <span style=""color:#666"">plentiful</span> <span style=""color:#999"">(alias: bushes)</span><br><span style=""color:#1a5276"">色</span> <span style=""color:#666"">color</span>",TH: 艷 | JP: 艶,RSH,RSH1::L44
艹,flower,,,,,cǎo,floor + walking stick + walking stick,⿻ (overlaid),⿻一⿰丨丨,"<span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",,RSH RTH RTK,RSH1::L10 primitive
艺,technique,,,228,,yì,fishhook + flower,⿱ (top-bottom),⿱艹乙,"<span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",TH: 藝 | JP: 藝,RSH,RSH1::L10
艾,Chinese mugwort,,,2533,,ài / yì,flower + sheaf,⿱ (top-bottom),⿱艹乂,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span>",,RSH RTH,RSH2::L38
节,holiday,,,1113,,jié,flower + chop,⿱ (top-bottom),⿱艹𰆊,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",TH: 節 | JP: 節,RSH,RSH1::L36
芒,mango,,,1724,,máng,flower + perish,⿱ (top-bottom),⿱艹亡,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">亡</span> <span style=""color:#666"">deceased</span> <span style=""color:#999"">(alias: perish)</span>",,RSH RTH,RSH2::L19
芙,hibiscus (A),,,2989,,fú,flower + husband,⿱ (top-bottom),⿱艹夫,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">夫</span> <span style=""color:#666"">husband</span>",,RSH RTH RTK,RSH2::Compounds
芝,sesame,,,2252,,zhī,flower + sign of Zorro,⿱ (top-bottom),⿱艹之,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">之</span> <span style=""color:#666"">of</span> <span style=""color:#999"">(alias: sign of Zorro)</span>",,RSH RTH RTK,RSH2::L31
芦,reeds,,,2156,,lú,flower + door,⿱ (top-bottom),⿱艹户,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">户</span> <span style=""color:#666"">door</span>",TH: 蘆,RSH RTK,RSH2::L28
芬,essence,,,1944,,fēn,flower + part,⿱ (top-bottom),⿱艹分,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span>",,RSH RTH,RSH2::L23
花,flower,,,833,,huā,flower + transform,⿱ (top-bottom),⿱艹化,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">化</span> <span style=""color:#666"">transform</span>",,RSH RTH RTK,RSH1::L26
芳,aromatic,,,1729,,fāng,compass + flower,⿱ (top-bottom),⿱艹方,"<span style=""color:#1a5276"">方</span> <span style=""color:#666"">direction</span> <span style=""color:#999"">(alias: compass)</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",,RSH RTH RTK,RSH2::L19
芹,celery,,,2185,,qín,flower + tomahawk,⿱ (top-bottom),⿱艹斤,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">斤</span> <span style=""color:#666"">catty</span> <span style=""color:#999"">(alias: tomahawk)</span>",,RSH RTH RTK,RSH2::L30
芽,sprout,,,2842,,yá,flower + tusk,⿱ (top-bottom),⿱艹牙,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">牙</span> <span style=""color:#666"">tooth</span> <span style=""color:#999"">(alias: tusk)</span>",,RSH RTH RTK,RSH2::L51
苍,ash-colored,,,2455,,cāng,flower + storehouse,⿱ (top-bottom),⿱艹仓,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span>",TH: 蒼 | JP: 蒼,RSH,RSH2::L36
苏,revive,,,745,,sū / Sū,flower + sweat,⿱ (top-bottom),⿱艹办,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">办</span> <span style=""color:#666"">manage</span> <span style=""color:#999"">(alias: sweat)</span>",TH: 蘇 | JP: 蘇,RSH,RSH1::L24
苗,seedling,tomato seedling,,235,,Miáo / miáo,rice field / brains + flower,⿱ (top-bottom),⿱艹田,"<span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",,RSH RTH RTK,RSH1::L10 primitive
苛,exacting,,,1582,,kē,flower + can,⿱ (top-bottom),⿱艹可,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">可</span> <span style=""color:#666"">can</span>",,RSH RTH RTK,RSH2::L10
苟,careless,,,1581,,gǒu,flower + sentence,⿱ (top-bottom),⿱艹句,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">句</span> <span style=""color:#666"">sentence</span>",,RSH,RSH2::L10
若,as if,,,226,,ruò,flower + right,⿱ (top-bottom),⿱艹右,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">右</span> <span style=""color:#666"">right</span>",,RSH RTH RTK,RSH1::L10
苦,suffering,,,229,,kǔ,flower + ancient,⿱ (top-bottom),⿱艹古,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">古</span> <span style=""color:#666"">ancient</span>",,RSH RTH RTK,RSH1::L10
英,England,,,1325,,Yīng / yīng,flower + center,⿱ (top-bottom),⿱艹央,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">央</span> <span style=""color:#666"">center</span>",,RSH RTH RTK,RSH1::L44
苹,apple,,,2529,,píng / pín,flower + water lily,⿱ (top-bottom),⿱艹平,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">平</span> <span style=""color:#666"">even</span> <span style=""color:#999"">(alias: water lily)</span>",TH: 蘋 | JP: 蘋,RSH,RSH2::L38
茂,lush,,,367,,mào,parade + flower,⿱ (top-bottom),⿱艹戊,"<span style=""color:#1a5276"">戊</span> <span style=""color:#666"">parade</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",,RSH RTH RTK,RSH1::L16
范,model,,,2445,,fàn,flower + water + fingerprint,⿱ (top-bottom),⿱艹氾,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">㔾</span> <span style=""color:#666"">fingerprint</span>",TH: 範 | JP: 範,RSH RTH,RSH2::L36
茄,eggplant,,,1991,,jiā / qié,flower + add,⿱ (top-bottom),⿱艹加,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">加</span> <span style=""color:#666"">add</span>",,RSH RTH RTK,RSH2::L24
茅,thatch,,,2262,,máo,flower + spear,⿱ (top-bottom),⿱艹矛,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">矛</span> <span style=""color:#666"">spear</span>",,RSH RTH RTK,RSH2::L32
茎,plant stem,,,2405,,jīng,flower + spool,⿱ (top-bottom),⿱艹𢀖,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">𢀖</span> <span style=""color:#666"">spool</span>",TH: 莖,RSH RTK,RSH2::L35
茧,cocoon,,,1743,,jiǎn,flower + insect,⿱ (top-bottom),⿱艹虫,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span>",TH: 繭 | JP: 繭,RSH,RSH2::L20
茫,boundless,,,1727,,máng,mango + water,⿱ (top-bottom),⿱艹汒,"<span style=""color:#1a5276"">芒</span> <span style=""color:#666"">mango</span><br><span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span>",,RSH RTH,RSH2::L19
茵,mattress,,,,,,flower + cause,⿱ (top-bottom),⿱艹因,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">因</span> <span style=""color:#666"">cause</span>",,,
茶,tea,,,261,,chá,flower + wooden pole + umbrella,⿳ (top-mid-bottom),⿳艹𠆢朩,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wooden pole)</span><br><span style=""color:#1a5276"">𠆢</span> <span style=""color:#666"">umbrella</span>",,RSH RTH RTK,RSH1::L12
草,grass,,,227,,cǎo / cào,flower + early,⿱ (top-bottom),⿱艹早,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">早</span> <span style=""color:#666"">early</span> <span style=""color:#999"">(alias: sunflower)</span>",,RSH RTH RTK,RSH1::L10
荐,recommend,,,1876,,jiàn,flower + deposit,⿱ (top-bottom),⿱艹存,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">存</span> <span style=""color:#666"">deposit</span>",TH: 薦 | JP: 薦,RSH,RSH2::L22
荒,wasteland,,,1725,,huāng,mango + flood,⿱ (top-bottom),⿱艹巟,"<span style=""color:#1a5276"">芒</span> <span style=""color:#666"">mango</span><br><span style=""color:#1a5276"">川</span> <span style=""color:#666"">stream</span> <span style=""color:#999"">(alias: flood)</span>",,RSH RTH RTK,RSH2::L19
荡,licentious,,,1757,,dàng / tàng,flower + soup,⿱ (top-bottom),⿱艹汤,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">汤</span> <span style=""color:#666"">soup</span>",TH: 蕩 | JP: 蕩,RSH,RSH2::L20
荣,glory,,,867,,róng,greenhouse + tree,⿱ (top-bottom),⿱艹𣎾,"<span style=""color:#1a5276"">囧荣－木</span> <span style=""color:#666"">greenhouse</span><br><span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span>",TH: 榮 | JP: 栄,RSH,RSH1::L27
荤,meat diet,,,,,,flower + chariot,⿱ (top-bottom),⿱艹军,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">军</span> <span style=""color:#666"">army</span> <span style=""color:#999"">(alias: chariot)</span>",TH: 葷 | JP: 葷,,
荫,shady,,,1062,,yìn,flower + Yin,⿱ (top-bottom),⿱艹阴,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">阴</span> <span style=""color:#666"">Yin</span>",TH: 蔭 | JP: 蔭,RSH,RSH1::L34
药,medicine,,,1100,,yào,flower + make an appointment,⿱ (top-bottom),⿱艹约,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">约</span> <span style=""color:#666"">make an appointment</span>",TH: 藥 | JP: 薬,RSH,RSH1::L35
荷,Holland,,,2101,,Hé / hé / hè,flower + whatwhichwhowherewhy?,⿱ (top-bottom),⿱艹何,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">何</span> <span style=""color:#666"">whatwhichwhowherewhy?</span>",,RSH RTH RTK,RSH2::L26
莉,jasmine,,,3010,,lì,flower + profit,⿱ (top-bottom),⿱艹利,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">利</span> <span style=""color:#666"">profit</span>",,RSH RTH RTK,RSH2::Postscript
莫,nobody,graveyard,,231,,mò,flower + sun + St. Bernard dog,⿱ (top-bottom),⿱艹旲,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span>",,RSH RTH RTK,RSH1::L10 primitive
莱,lambsquarters,,,2045,,lái,flower + come,⿱ (top-bottom),⿱艹来,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">来</span> <span style=""color:#666"">come</span>",TH: 萊 | JP: 萊,RSH,RSH2::L25
莲,lotus,,,302,,lián,flower,⿱ (top-bottom),⿱艹连,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span>",TH: 蓮 | JP: 蓮,RSH,RSH1::L13
获,seize,,,245,,huò,flower + chihuahua / pack of wild dogs,⿱ (top-bottom),⿱艹犾,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span>",TH: 獲 | JP: 獲,RSH,RSH1::L11
莹,lustrous,,,2124,,yíng,greenhouse + jade,⿱ (top-bottom),⿱𫇦玉,"<span style=""color:#1a5276"">囧荣－木</span> <span style=""color:#666"">greenhouse</span><br><span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel, ball)</span>",TH: 瑩 | JP: 瑩,RSH,RSH2::L27
莺,oriole,,,2866,,yīng,greenhouse + bird,⿱ (top-bottom),⿱𫇦鸟,"<span style=""color:#1a5276"">囧荣－木</span> <span style=""color:#666"">greenhouse</span><br><span style=""color:#1a5276"">鸟</span> <span style=""color:#666"">bird</span>",TH: 鶯 | JP: 鴬,RSH,RSH2::L52
莽,rude,,,1871,,mǎng,flower + chihuahua + two hands,⿱ (top-bottom),⿱艹𬌪,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span><br><span style=""color:#1a5276"">开</span> <span style=""color:#666"">open</span> <span style=""color:#999"">(alias: two hands)</span>",,RSH RTH,RSH2::L22
菇,mushroom (stem),,,2996,,gū,flower + father’s sister,⿱ (top-bottom),⿱艹姑,"<span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">姑</span> <span style=""color:#666"">father’s sister</span>",,RSH,RSH2::Compounds
