character,keyword,primitive_meanings,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
番,try,fertilizer,,1418,,fān,droppings + rice field,⿱ (top-bottom),⿱釆田,"<span style=""color:#1a5276"">釆</span> <span style=""color:#666"">droppings</span><br><span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span>",,RSH RTH RTK,RSH1::L51 primitive
畴,farmland,,,2576,,chóu,"rice field + long, gray, beard",⿰ (left-right),⿰田寿,"<span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span><br><span style=""color:#1a5276"">寿</span> <span style=""color:#666"">longevity</span> <span style=""color:#999"">(alias: long, gray, beard)</span>",TH: 疇 | JP: 疇,RSH,RSH2::L39
畺,family feud,,,,,,rice field + one,⿳ (top-mid-bottom),⿳𰢴𰢴一,"<span style=""color:#1a5276"">田</span> <span style=""color:#666"">rice field</span> <span style=""color:#999"">(alias: brains)</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span>",,RSH RTH,RSH2::L32 primitive
疆,dividing line,,,2272,,jiāng,bow + soil + family feud,⿰ (left-right),⿰⿹弓土畺,"<span style=""color:#1a5276"">弓</span> <span style=""color:#666"">bow</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground, dirt, land)</span><br><span style=""color:#1a5276"">畺</span> <span style=""color:#666"">family feud</span>",,RSH RTH,RSH2::L32
疋,zoo,,,,,,mending,⿱ (top-bottom),⿱乛龰,"<span style=""color:#1a5276"">囧走－十</span> <span style=""color:#666"">mending</span>",,RTK RSH RTH,RSH1::L17 primitive
疏,sparse,,,1921,,shū,zoo + baby Moses,⿰ (left-right),⿰𤴔㐬,"<span style=""color:#1a5276"">疋</span> <span style=""color:#666"">zoo</span><br><span style=""color:#1a5276"">㐬</span> <span style=""color:#666"">baby Moses</span>",,RSH RTH RTK,RSH2::L22
疑,doubt,furled brow,,2435,,yí,someone sitting on the ground + zoo + dart + chop,⿰ (left-right),⿰𠤕⿱龴疋,"<span style=""color:#1a5276"">匕</span> <span style=""color:#666"">ancient spoon</span> <span style=""color:#999"">(alias: someone sitting on the ground)</span><br><span style=""color:#1a5276"">疋</span> <span style=""color:#666"">zoo</span><br><span style=""color:#1a5276"">矢</span> <span style=""color:#666"">dart</span><br><span style=""color:#1a5276"">囧节－艹</span> <span style=""color:#666"">chop</span>",,RSH RTH RTK,RSH2::L36 primitive
疒,sickness,,,,,nè,cave + ice,⿰ (left-right),⿰冫广,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span> <span style=""color:#999"">(alias: cave)</span><br><span style=""color:#1a5276"">冫</span> <span style=""color:#666"">ice</span>",,RSH RTH RTK,RSH1::L43 primitive
疗,cure,,,2658,,liáo,sickness + -ed,⿸ (top-left-wrap),⿸疒了,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">了</span> <span style=""color:#666"">-ed</span>",TH: 療 | JP: 療,RSH,RSH2::L43
疟,malaria,,,,,,sickness + box + floor,⿸ (top-left-wrap),⿸疒𰀂,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">匚</span> <span style=""color:#666"">box</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor)</span>",TH: 瘧 | JP: 瘧,,
疤,scar,,,2728,,bā,sickness + mosaic,⿸ (top-left-wrap),⿸疒巴,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">巴</span> <span style=""color:#666"">crust</span> <span style=""color:#999"">(alias: mosaic)</span>",,RSH RTH,RSH2::L44
疫,epidemic,,,2664,,yì,sickness + missile,⿸ (top-left-wrap),⿸疒殳,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">殳</span> <span style=""color:#666"">missile</span>",,RSH RTH RTK,RSH2::L43
疮,sore,,,2669,,chuāng,sickness + storehouse,⿸ (top-left-wrap),⿸疒仓,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">仓</span> <span style=""color:#666"">storehouse</span>",TH: 瘡 | JP: 瘡,RSH,RSH2::L43
疯,insane,,,1296,,fēng,sickness + windstorm,⿸ (top-left-wrap),⿸疒风,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">风</span> <span style=""color:#666"">wind</span> <span style=""color:#999"">(alias: windstorm)</span>",TH: 瘋 | JP: 瘋,RSH,RSH1::L43
疲,fatigued,,,2666,,pí,sickness + covering,⿸ (top-left-wrap),⿸疒皮,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">皮</span> <span style=""color:#666"">covering</span>",,RSH RTH RTK,RSH2::L43
疼,hurt,,,2661,,téng,sickness + winter,⿸ (top-left-wrap),⿸疒冬,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">冬</span> <span style=""color:#666"">winter</span>",,RSH RTH,RSH2::L43
疾,rapid,,,2670,,jí,dart + sickness,⿸ (top-left-wrap),⿸疒矢,"<span style=""color:#1a5276"">矢</span> <span style=""color:#666"">dart</span><br><span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span>",,RSH RTH RTK,RSH2::L43
病,illness,,,1294,,bìng,sickness + third,⿸ (top-left-wrap),⿸疒丙,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">丙</span> <span style=""color:#666"">third</span>",,RSH RTH RTK,RSH1::L43
