character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
母,mother / mama,99,,,mǔ,woman,,母,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span>",,RSH RTH RTK,RTH1::L06 primitive
每,every,431,,,měi,lying (down) + mother,⿱ (top-bottom),⿱𠂉母,"<span style=""color:#1a5276"">𠂉</span> <span style=""color:#666"">reclining</span> <span style=""color:#999"">(alias: lying (down))</span><br><span style=""color:#1a5276"">母</span> <span style=""color:#666"">mother</span> <span style=""color:#999"">(alias: breasts)</span>",JP: 毎,RSH RTH,RTH1::L18
毒,poison,1149,,,dú,grow up + mother,⿱ (top-bottom),⿱龶母,"<span style=""color:#1a5276"">囧毒－母</span> <span style=""color:#666"">grow up</span><br><span style=""color:#1a5276"">母</span> <span style=""color:#666"">mother</span> <span style=""color:#999"">(alias: breasts)</span>",,RSH RTH RTK,RTH1::L39
比,compare,422,,,Bǐ / bǐ / bì,spoon,⿰ (left-right),⿰⿺乚一匕,"<span style=""color:#1a5276"">匕</span> <span style=""color:#666"">ancient spoon</span> <span style=""color:#999"">(alias: spoon)</span>",,RSH RTH RTK,RTH1::L18
毛,fur,1381,,,máo,hand,⿱ (top-bottom),⿱㇒⿻二乚,"<span style=""color:#1a5276"">手</span> <span style=""color:#666"">hand</span>",,RSH RTH RTK,RTH1::L51
毫,milli-,2795,,,háo,tiara + fur,⿱ (top-bottom),⿱{87}毛,"<span style=""color:#1a5276"">高</span> <span style=""color:#666"">tall</span> <span style=""color:#999"">(alias: tiara)</span><br><span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span>",,RSH RTH,RTH2::L51
毯,blanket,2794,,,tǎn,fur + inflammation,⿺ (bottom-left-wrap),⿺毛炎,"<span style=""color:#1a5276"">毛</span> <span style=""color:#666"">fur</span><br><span style=""color:#1a5276"">炎</span> <span style=""color:#666"">inflammation</span>",,RSH RTH,RTH2::L51
氏,family name,1328,,,zhī,eyedropper + plow + one + fishhook,,氏,"<span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">囧以－丶人</span> <span style=""color:#666"">plow</span><br><span style=""color:#1a5276"">一</span> <span style=""color:#666"">one</span> <span style=""color:#999"">(alias: floor, ceiling)</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,RSH RTH RTK,RTH1::L48
民,people,1334,,,mín,family name + mouth,,民,"<span style=""color:#1a5276"">氏</span> <span style=""color:#666"">family name</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,RSH RTH RTK,RTH1::L48
氓,hoodlum,2723,,,máng / méng,perish + people,⿰ (left-right),⿰亡民,"<span style=""color:#1a5276"">亡</span> <span style=""color:#666"">deceased</span> <span style=""color:#999"">(alias: perish)</span><br><span style=""color:#1a5276"">民</span> <span style=""color:#666"">people</span>",,RSH RTH,RTH2::L48
氛,atmosphere,2772,,,fēn,air + part,⿹ (top-right-wrap),⿹气分,"<span style=""color:#1a5276"">气</span> <span style=""color:#666"">air</span><br><span style=""color:#1a5276"">分</span> <span style=""color:#666"">part</span>",,RSH RTH,RTH2::L50
