character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,simplified,simplified_reading,simplified_decomposition,simplified_components,japanese,japanese_decomposition,japanese_components,deck,tags
曬,bask,2890,,,shài,sun + lovely,⿰ (left-right),⿰日麗,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">麗</span> <span style=""color:#666"">lovely</span>",晒,shài,sun + Old West,"<span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">西</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span>",,,,RTH,RTH2::L53
灑,spill,2891,,,sǎ,water + lovely,⿰ (left-right),⿰氵麗,"<span style=""color:#1a5276"">氵</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">麗</span> <span style=""color:#666"">lovely</span>",洒,sǎ,water + Old West,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">西</span> <span style=""color:#666"">west</span> <span style=""color:#999"">(alias: Old West)</span>",,,,RTH,RTH2::L53
罷,cease,2892,,2032,bà / ba,net + ability,⿱ (top-bottom),⿱罒能,"<span style=""color:#1a5276"">罒</span> <span style=""color:#666"">net</span><br><span style=""color:#1a5276"">能</span> <span style=""color:#666"">ability</span>",罢,bà / ba,net + go,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: net)</span><br><span style=""color:#1a5276"">去</span> <span style=""color:#666"">go</span>",,,,RTH RTK,RTH2::L53 RTK1v5::L56
擺,put in order,2893,,,bǎi,fingers + cease,⿰ (left-right),⿰扌罷,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">罷</span> <span style=""color:#666"">cease</span>",摆,bǎi,fingers + cease,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">罢</span> <span style=""color:#666"">cease</span>",,,,RTH,RTH2::L53
唇,lips,2894,2918,2013,chún,sign of the dragon + mouth,⿸ (top-left-wrap),⿸辰口,"<span style=""color:#1a5276"">辰</span> <span style=""color:#666"">sign of the dragon</span><br><span style=""color:#1a5276"">口</span> <span style=""color:#666"">mouth</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
辱,disgrace,2895,2919,2009,rǔ,sign of the dragon + glue,⿱ (top-bottom),⿱辰寸,"<span style=""color:#1a5276"">辰</span> <span style=""color:#666"">sign of the dragon</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
震,quake,2896,2920,2010,zhèn,weather + sign of the dragon,⿱ (top-bottom),⿱雨辰,"<span style=""color:#1a5276"">雨</span> <span style=""color:#666"">rain</span> <span style=""color:#999"">(alias: weather)</span><br><span style=""color:#1a5276"">辰</span> <span style=""color:#666"">sign of the dragon</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
振,vibrate,2897,2921,2011,zhèn,fingers + sign of the dragon,⿰ (left-right),⿰扌辰,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">辰</span> <span style=""color:#666"">sign of the dragon</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
魄,vigor,2898,2924,,pò,white + ghost,⿰ (left-right),⿰白鬼,"<span style=""color:#1a5276"">白</span> <span style=""color:#666"">white</span> <span style=""color:#999"">(alias: white bird, dove)</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",,,,,,,,RSH RTH,RSH2::L54 RTH2::L54
槐,scholar tree,2899,2925,,huái,tree + ghost,⿰ (left-right),⿰木鬼,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",,,,,,,,RSH RTH,RSH2::L54 RTH2::L54
魅,enchant,2900,2926,2023,mèi,ghost + not yet,⿺ (bottom-left-wrap),⿺鬼未,"<span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span><br><span style=""color:#1a5276"">未</span> <span style=""color:#666"">not yet</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
瑰,marvelous,2901,2927,,guī,jewel + ghost,⿰ (left-right),⿰𤣩鬼,"<span style=""color:#1a5276"">玉</span> <span style=""color:#666"">jade</span> <span style=""color:#999"">(alias: jewel)</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",,,,,,,,RSH RTH,RSH2::L54 RTH2::L54
魂,soul,2902,2928,2021,hún,rising cloud + ghost,⿰ (left-right),⿰云鬼,"<span style=""color:#1a5276"">云</span> <span style=""color:#666"">cloud</span> <span style=""color:#999"">(alias: rising cloud)</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK1v5::L55
愧,ashamed,2903,2929,,kuì,state of mind + ghost,⿰ (left-right),⿰忄鬼,"<span style=""color:#1a5276"">心</span> <span style=""color:#666"">heart</span> <span style=""color:#999"">(alias: state of mind)</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",,,,,,,,RSH RTH,RSH2::L54 RTH2::L54
魁,leader,2904,2930,2924,kuí,ghost + Big Dipper,⿺ (bottom-left-wrap),⿺鬼斗,"<span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span><br><span style=""color:#1a5276"">斗</span> <span style=""color:#666"">Big Dipper</span> <span style=""color:#999"">(alias: measuring cup)</span>",,,,,,,,RSH RTH RTK,RSH2::L54 RTH2::L54 RTK3v2::CH03
醜,ugly,2905,,2020,chǒu,whiskey bottle + ghost,⿰ (left-right),⿰酉鬼,"<span style=""color:#1a5276"">酉</span> <span style=""color:#666"">whiskey bottle</span><br><span style=""color:#1a5276"">鬼</span> <span style=""color:#666"">ghost</span>",丑,chǒu,needle + key,"<span style=""color:#1a5276"">十</span> <span style=""color:#666"">ten</span> <span style=""color:#999"">(alias: needle)</span><br><span style=""color:#1a5276"">囧侯－亻－矢</span> <span style=""color:#666"">key</span>",,,,RTH RTK,RTH2::L54 RTK1v5::L55
壟,raised path between fields,2906,,,lǒng,dragon + ground,⿱ (top-bottom),⿱龍土,"<span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground)</span>",垄,lǒng,land + dragon,"<span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: land)</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",,,,RTH,RTH2::L54
寵,dote on,2907,,2982,chǒng,house + dragon,⿱ (top-bottom),⿱宀龍,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span>",宠,chǒng,house + dragon,"<span style=""color:#1a5276"">宀</span> <span style=""color:#666"">house</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",,,,RTH RTK,RTH2::L54 RTK3v2::CH06
龐,huge,2908,,,páng,cave + dragon,⿸ (top-left-wrap),⿸广龍,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span> <span style=""color:#999"">(alias: cave)</span><br><span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span>",庞,páng,cave + dragon,"<span style=""color:#1a5276"">广</span> <span style=""color:#666"">extensive</span> <span style=""color:#999"">(alias: cave)</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",厖,cliff + dragon + dropdrop + dropdrop,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span>",RTH,RTH2::L54
攏,draw near,2909,,,lǒng,fingers + dragon,⿰ (left-right),⿰扌龍,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span>",拢,lǒng,fingers + dragon,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",,,,RTH,RTH2::L54
聾,deaf,2910,,2983,lóng,dragon + ear,⿱ (top-bottom),⿱龍耳,"<span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",聋,lóng,dragon + ear,"<span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span><br><span style=""color:#1a5276"">耳</span> <span style=""color:#666"">ear</span>",,,,RTH RTK,RTH2::L54 RTK3v2::CH06
籠,cage,2911,,3028,lóng / lǒng,bamboo + dragon,⿱ (top-bottom),⿱𥫗龍,"<span style=""color:#1a5276"">𥫗</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">龍</span> <span style=""color:#666"">dragon</span>",笼,lóng / lǒng,bamboo + dragon,"<span style=""color:#1a5276"">竹</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span>",篭,bamboo + dragon,"<span style=""color:#1a5276"">𥫗</span> <span style=""color:#666"">bamboo</span><br><span style=""color:#1a5276"">竜</span> <span style=""color:#666"">dragon</span>",RTH RTK,L # RTH2::L54 RTH2::L54 RTK1v5::Sup.
插,insert,2912,2958,,chā,fingers + thousand + mortar,⿰ (left-right),⿰扌臿,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span>",,,,,挿,fingers + thousand + sun,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">千</span> <span style=""color:#666"">thousand</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",RSH RTH,RSH2::L55 RTH2::L55
毀,ruin,2913,,2067,huǐ,mortar + ground + missile,⿰ (left-right),⿰𱼭殳,"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">土</span> <span style=""color:#666"">soil</span> <span style=""color:#999"">(alias: ground)</span><br><span style=""color:#1a5276"">殳</span> <span style=""color:#666"">missile</span>",毁,huǐ,I-beam + mortar + missile,"<span style=""color:#1a5276"">工</span> <span style=""color:#666"">work</span> <span style=""color:#999"">(alias: I-beam)</span><br><span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">殳</span> <span style=""color:#666"">missile</span>",,,,RTH RTK,RTH2::L55 RTK3v2::CH01
舅,mother's brother,2914,2961,2064,jiù,mortar + male,⿱ (top-bottom),⿱臼男,"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">男</span> <span style=""color:#666"">male</span>",,,,,,,,RSH RTH RTK,RSH2::L55 RTH2::L55 RTK3v2::CH01
樁,stake,2915,,,zhuāng,tree + bonsai + mortar,⿰ (left-right),⿰木舂,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">𡗗</span> <span style=""color:#666"">bonsai</span><br><span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span>",桩,zhuāng,tree + hamlet,"<span style=""color:#1a5276"">木</span> <span style=""color:#666"">tree</span> <span style=""color:#999"">(alias: wood, pole, wooden pole)</span><br><span style=""color:#1a5276"">庄</span> <span style=""color:#666"">hamlet</span>",,,,RTH,RTH2::L55
鑿,bore a hole,2916,,2066,zuò / záo,mortar + profession + animal horns + clothesline + missile + gold,⿱ (top-bottom),⿱𣫞金,"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span><br><span style=""color:#1a5276"">殳</span> <span style=""color:#666"">missile</span><br><span style=""color:#1a5276"">金</span> <span style=""color:#666"">gold</span> <span style=""color:#999"">(alias: metal)</span>",凿,zuò / záo,profession + pit + animal horns + clothesline,"<span style=""color:#1a5276"">业</span> <span style=""color:#666"">profession</span><br><span style=""color:#1a5276"">凵</span> <span style=""color:#666"">pit</span><br><span style=""color:#1a5276"">丷</span> <span style=""color:#666"">horns</span> <span style=""color:#999"">(alias: animal horns)</span><br><span style=""color:#1a5276"">干</span> <span style=""color:#666"">dry</span> <span style=""color:#999"">(alias: clothesline)</span>",,,,RTH RTK,RTH2::L55 RTK3v2::CH01
鼠,mouse,2917,2960,2065,shǔ,mortar + plow + rain + fishhook,⿱ (top-bottom),⿱臼{16},"<span style=""color:#1a5276"">臼</span> <span style=""color:#666"">mortar</span><br><span style=""color:#1a5276"">囧以－丶人</span> <span style=""color:#666"">plow</span><br><span style=""color:#1a5276"">雨</span> <span style=""color:#666"">rain</span> <span style=""color:#999"">(alias: weather)</span><br><span style=""color:#1a5276"">乙</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: fishhook)</span>",,,,,,,,RSH RTH RTK,RSH2::L55 RTH2::L55 RTK3v2::CH01
竄,scurry,2918,,,cuàn,hole + mouse,⿱ (top-bottom),⿱穴鼠,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span><br><span style=""color:#1a5276"">鼠</span> <span style=""color:#666"">mouse</span>",窜,cuàn,hole + shish kebab,"<span style=""color:#1a5276"">穴</span> <span style=""color:#666"">hole</span><br><span style=""color:#1a5276"">串</span> <span style=""color:#666"">string together</span> <span style=""color:#999"">(alias: shish kebab)</span>",,,,RTH,RTH2::L55
臘,dried meat,2919,,,là,moon + 𡿨 + 𡿨 + 𡿨 + pent in + sheaf + 𠄌 + eight + 𠄌 + eight + ㇂,⿰ (left-right),⿰月巤,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">⺀</span> <span style=""color:#666"">eight</span>",腊,xī / là,flesh + times past,"<span style=""color:#1a5276"">月</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: flesh)</span><br><span style=""color:#1a5276"">昔</span> <span style=""color:#666"">times past</span>",,,,RTH,RTH2::L55
蠟,wax,2920,,,là,insect + 𡿨 + 𡿨 + 𡿨 + pent in + sheaf + 𠄌 + eight + 𠄌 + eight + ㇂,⿰ (left-right),⿰虫巤,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">⺀</span> <span style=""color:#666"">eight</span>",蜡,là,insect + times past,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">昔</span> <span style=""color:#666"">times past</span>",蝋,insect + eyedropper + eyedropper + dropdrop + drop + hook + two + walking stick,"<span style=""color:#1a5276"">虫</span> <span style=""color:#666"">insect</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">⺄</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RTH,RTH2::L55
獵,hunt,2921,,,liè,chihuahua + 𡿨 + 𡿨 + 𡿨 + pent in + sheaf + 𠄌 + eight + 𠄌 + eight + ㇂,⿰ (left-right),⿰犭巤,"<span style=""color:#1a5276"">犭</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span><br><span style=""color:#1a5276"">囗</span> <span style=""color:#666"">pent in</span><br><span style=""color:#1a5276"">㐅</span> <span style=""color:#666"">sheaf</span><br><span style=""color:#1a5276"">⺀</span> <span style=""color:#666"">eight</span>",猎,liè,pack of wild dogs + times past,"<span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: pack of wild dogs)</span><br><span style=""color:#1a5276"">昔</span> <span style=""color:#666"">times past</span>",猟,chihuahua + eyedropper + eyedropper + dropdrop + drop + hook + two + walking stick,"<span style=""color:#1a5276"">犭</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span><br><span style=""color:#1a5276"">丿</span> <span style=""color:#666"">drop</span><br><span style=""color:#1a5276"">⺄</span> <span style=""color:#666"">second</span> <span style=""color:#999"">(alias: hook)</span><br><span style=""color:#1a5276"">二</span> <span style=""color:#666"">two</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span>",RTH,RTH2::L55
艘,vessels,2922,2968,2068,sōu,boat + cake mixer,⿰ (left-right),⿰舟叟,"<span style=""color:#1a5276"">舟</span> <span style=""color:#666"">boat</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",,,,,,,,RSH RTH RTK,RSH2::L55 RTH2::L55 RTK3v2::CH01
嫂,elder brother's wife,2923,2965,,sǎo,woman + cake mixer,⿰ (left-right),⿰女叟,"<span style=""color:#1a5276"">女</span> <span style=""color:#666"">woman</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",,,,,,,,RSH RTH,RSH2::L55 RTH2::L55
瘦,emaciated,2924,2967,,shòu,sickness + cake mixer,⿸ (top-left-wrap),⿸疒叟,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",,,,,痩,sickness + monkey + right hand,"<span style=""color:#1a5276"">疒</span> <span style=""color:#666"">sickness</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",RSH RTH,RSH2::L55 RTH2::L55
搜,search,2925,2966,,sōu,fingers + cake mixer,⿰ (left-right),⿰扌叟,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">叟</span> <span style=""color:#666"">cake mixer</span>",,,,,捜,fingers + monkey + right hand,"<span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span><br><span style=""color:#1a5276"">申</span> <span style=""color:#666"">express</span> <span style=""color:#999"">(alias: monkey)</span><br><span style=""color:#1a5276"">又</span> <span style=""color:#666"">again</span> <span style=""color:#999"">(alias: right hand)</span>",RSH RTH,RSH2::L55 RTH2::L55
稻,unhulled rice,2926,2963,,dào,wild rice + scoop,⿰ (left-right),⿰禾舀,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span> <span style=""color:#999"">(alias: wild rice)</span><br><span style=""color:#1a5276"">舀</span> <span style=""color:#666"">scoop</span>",,,,,稲,wild rice + vulture + old,"<span style=""color:#1a5276"">禾</span> <span style=""color:#666"">standing grain</span> <span style=""color:#999"">(alias: wild rice)</span><br><span style=""color:#1a5276"">爫</span> <span style=""color:#666"">claw</span> <span style=""color:#999"">(alias: vulture)</span><br><span style=""color:#1a5276"">旧</span> <span style=""color:#666"">old</span>",RSH RTH,RSH2::L55 RTH2::L55
蹈,tread,2927,2964,,dǎo,wooden leg + scoop,⿰ (left-right),⿰𧾷舀,"<span style=""color:#1a5276"">足</span> <span style=""color:#666"">lower leg</span> <span style=""color:#999"">(alias: wooden leg)</span><br><span style=""color:#1a5276"">舀</span> <span style=""color:#666"">scoop</span>",,,,,,,,RSH RTH,RSH2::L55 RTH2::L55
滔,surging,2928,2962,,tāo,water + scoop,⿰ (left-right),⿰氵舀,"<span style=""color:#1a5276"">水</span> <span style=""color:#666"">water</span> <span style=""color:#999"">(alias: snowflake)</span><br><span style=""color:#1a5276"">舀</span> <span style=""color:#666"">scoop</span>",,,,,,,,RSH RTH,RSH2::L55 RTH2::L55
陷,get stuck,2929,2971,,xiàn,pinnacle + pothole,⿰ (left-right),⿰阝臽,"<span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span><br><span style=""color:#1a5276"">臽</span> <span style=""color:#666"">pothole</span>",,,,,陥,pinnacle + dagger + old,"<span style=""color:#1a5276"">阝</span> <span style=""color:#666"">pinnacle</span><br><span style=""color:#1a5276"">⺈</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">旧</span> <span style=""color:#666"">old</span>",RSH RTH,RSH2::L55 RTH2::L55
焰,flame,2930,2969,,yàn,fire + pothole,⿰ (left-right),⿰火臽,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames, fireplace, cooking fire)</span><br><span style=""color:#1a5276"">臽</span> <span style=""color:#666"">pothole</span>",,,,,焔,flames + dagger + old,"<span style=""color:#1a5276"">火</span> <span style=""color:#666"">fire</span> <span style=""color:#999"">(alias: flames)</span><br><span style=""color:#1a5276"">⺈</span> <span style=""color:#666"">sword</span> <span style=""color:#999"">(alias: dagger)</span><br><span style=""color:#1a5276"">旧</span> <span style=""color:#666"">old</span>",RSH RTH,RSH2::L55 RTH2::L55
餡,filling,2931,,,xiàn,food + pothole,⿰ (left-right),⿰飠臽,"<span style=""color:#1a5276"">飠</span> <span style=""color:#666"">food</span><br><span style=""color:#1a5276"">臽</span> <span style=""color:#666"">pothole</span>",馅,xiàn,food + pothole,"<span style=""color:#1a5276"">食</span> <span style=""color:#666"">food</span><br><span style=""color:#1a5276"">臽</span> <span style=""color:#666"">pothole</span>",,,,RTH,RTH2::L55
輛,vehicles,2932,,,liàng,car + yoke,⿰ (left-right),⿰車兩,"<span style=""color:#1a5276"">車</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">兩</span> <span style=""color:#666"">dos</span> <span style=""color:#999"">(alias: yoke)</span>",辆,liàng,car + yoke,"<span style=""color:#1a5276"">车</span> <span style=""color:#666"">car</span> <span style=""color:#999"">(alias: cart, wagon, vehicle)</span><br><span style=""color:#1a5276"">两</span> <span style=""color:#666"">dos</span> <span style=""color:#999"">(alias: yoke)</span>",,,,RTH,RTH2::L55
瞞,dissemble,2933,,,mán,eye + twenty + walking stick + glass cover + enter + enter,⿰ (left-right),⿰目㒼,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball, net)</span><br><span style=""color:#1a5276"">廿</span> <span style=""color:#666"">twenty</span><br><span style=""color:#1a5276"">丨</span> <span style=""color:#666"">walking stick</span><br><span style=""color:#1a5276"">冂</span> <span style=""color:#666"">hood</span> <span style=""color:#999"">(alias: glass cover)</span><br><span style=""color:#1a5276"">入</span> <span style=""color:#666"">enter</span>",瞒,mán,eyeball + flower + yoke,"<span style=""color:#1a5276"">目</span> <span style=""color:#666"">eye</span> <span style=""color:#999"">(alias: eyeball)</span><br><span style=""color:#1a5276"">艹</span> <span style=""color:#666"">flower</span><br><span style=""color:#1a5276"">两</span> <span style=""color:#666"">dos</span> <span style=""color:#999"">(alias: yoke)</span>",,,,RTH,RTH2::L55
爽,frank,2934,2972,2855,shuǎng,St. Bernard dog + stitching,⿻ (overlaid),⿻大㸚,"<span style=""color:#1a5276"">大</span> <span style=""color:#666"">large</span> <span style=""color:#999"">(alias: St. Bernard dog)</span><br><span style=""color:#1a5276"">㸚</span> <span style=""color:#666"">stitching</span>",,,,,,,,RSH RTH RTK,RSH2::L55 RTH2::L55 RTK3v2::CH03
綴,embellish,2935,,2073,chuò / zhuì,floss + pair + pair,⿰ (left-right),⿰糹叕,"<span style=""color:#1a5276"">糹</span> <span style=""color:#666"">floss</span><br><span style=""color:#1a5276"">双</span> <span style=""color:#666"">pair</span>",缀,chuò / zhuì,thread + stitching,"<span style=""color:#1a5276"">纟</span> <span style=""color:#666"">thread</span><br><span style=""color:#1a5276"">㸚</span> <span style=""color:#666"">stitching</span>",,,,RTH RTK,RTH2::L55 RTK3v2::CH01
碰,bump,2936,2755,,pèng,stone + side by side,⿰ (left-right),⿰石並,"<span style=""color:#1a5276"">石</span> <span style=""color:#666"">stone</span> <span style=""color:#999"">(alias: pebbles, rocks)</span><br><span style=""color:#1a5276"">並</span> <span style=""color:#666"">side by side</span>",,,,,,,,RSH RTH,RSH2::L46 RTH2::L55
挪,transfer,2937,2938,,nuó,Alcatraz + fingers,⿰ (left-right),⿰扌那,"<span style=""color:#1a5276"">那</span> <span style=""color:#666"">that</span> <span style=""color:#999"">(alias: Alcatraz)</span><br><span style=""color:#1a5276"">扌</span> <span style=""color:#666"">fingers</span>",,,,,,,,RSH RTH,RSH2::L55 RTH2::L55
誣,charge falsely,2938,,,wū,words + witch,⿰ (left-right),⿰訁巫,"<span style=""color:#1a5276"">訁</span> <span style=""color:#666"">say</span> <span style=""color:#999"">(alias: words)</span><br><span style=""color:#1a5276"">巫</span> <span style=""color:#666"">witch</span>",诬,wū,words + witch,"<span style=""color:#1a5276"">言</span> <span style=""color:#666"">say</span> <span style=""color:#999"">(alias: words)</span><br><span style=""color:#1a5276"">巫</span> <span style=""color:#666"">witch</span>",,,,RTH,RTH2::L55
譽,reputation,2939,,,yù,offer + words,⿱ (top-bottom),⿱與言,"<span style=""color:#1a5276"">與</span> <span style=""color:#666"">offer</span><br><span style=""color:#1a5276"">言</span> <span style=""color:#666"">say</span> <span style=""color:#999"">(alias: words)</span>",誉,yù,excitement + words,"<span style=""color:#1a5276"">兴</span> <span style=""color:#666"">excitement</span><br><span style=""color:#1a5276"">言</span> <span style=""color:#666"">say</span> <span style=""color:#999"">(alias: words)</span>",,,,RTH,RTH2::L55
嶼,islet,2940,,,yǔ,mountain + offer,⿰ (left-right),⿰山與,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">與</span> <span style=""color:#666"">offer</span>",屿,yǔ,mountain + offer,"<span style=""color:#1a5276"">山</span> <span style=""color:#666"">mountain</span><br><span style=""color:#1a5276"">与</span> <span style=""color:#666"">offer</span>",,,,RTH,RTH2::L55
