character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,variants,deck,tags
卵,nest eggs,,,1422,luǎn,letter opener + a drop of,⿰ (left-right),⿰𠂑卪,"<span style=""color:#1a5276"">囧贸－贝</span> <span style=""color:#666"">letter opener</span><br><span style=""color:#1a5276"">丶</span> <span style=""color:#666"">a drop of</span> <span style=""color:#999"">(alias: eyedropper)</span>",,RSH RTH RTK,RTK1v5::L37
卸,unload / wholesale,,,1397,xiè,stick horse + footprint + stamp,⿰ (left-right),⿰𦈢卩,"<span style=""color:#1a5276"">午</span> <span style=""color:#666"">noon</span> <span style=""color:#999"">(alias: stick horse)</span><br><span style=""color:#1a5276"">止</span> <span style=""color:#666"">stop</span> <span style=""color:#999"">(alias: footprint)</span><br><span style=""color:#1a5276"">卩</span> <span style=""color:#666"">stamp</span>",,RSH RTH RTK,RTK1v5::L37
卿,minister / magistrate,,,2898,qīng,letter opener + silver,⿰ (left-right),⿰𠂎即,"<span style=""color:#1a5276"">囧贸－贝</span> <span style=""color:#666"">letter opener</span><br><span style=""color:#1a5276"">艮</span> <span style=""color:#666"">silver</span>",,RSH RTH RTK,RTK3v2::CH03
厄,unlucky,,,1415,,cliff + fingerprint,⿸ (top-left-wrap),⿸厂㔾,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">㔾</span> <span style=""color:#666"">fingerprint</span>",,RTK,RTK1v5::L37
厖,immense,,,2089,,cliff + dragon + dropdrop + dropdrop,⿸ (top-left-wrap),⿸厂尨,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">龙</span> <span style=""color:#666"">dragon</span><br><span style=""color:#1a5276"">㇒</span> <span style=""color:#666"">dropdrop</span>",TH: 龐 | SH: 庞,RTK,RTK3v2::CH01
厘,smidgen / rin,,,178,lí / Lí,cliff + computer,⿸ (top-left-wrap),⿸厂里,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">里</span> <span style=""color:#666"">li</span> <span style=""color:#999"">(alias: computer)</span>",TH: 釐,RSH RTK,RTK1v5::L09
厚,thick,,,125,hòu,child + cliff + sun,⿸ (top-left-wrap),⿸厂㫗,"<span style=""color:#1a5276"">子</span> <span style=""color:#666"">child</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span>",,RSH RTH RTK,RTK1v5::L07
原,flatlands / meadow,,,134,yuán,spring + cliff,⿸ (top-left-wrap),⿸厂⿱白小,"<span style=""color:#1a5276"">泉</span> <span style=""color:#666"">spring</span><br><span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span>",,RSH RTH RTK,RTK1v5::L08
厨,kitchen,,,2152,chú,cliff + table + glue,⿸ (top-left-wrap),⿸厂𭔰,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">豆</span> <span style=""color:#666"">beans</span> <span style=""color:#999"">(alias: table)</span><br><span style=""color:#1a5276"">寸</span> <span style=""color:#666"">Chinese inch</span> <span style=""color:#999"">(alias: glue)</span>",TH: 廚,RSH RTK,RTK3v2::CH02
厭,detest / despondent,,,2149,yàn,cliff + sun + moon + chihuahua,⿸ (top-left-wrap),⿸厂猒,"<span style=""color:#1a5276"">厂</span> <span style=""color:#666"">factory</span> <span style=""color:#999"">(alias: cliff)</span><br><span style=""color:#1a5276"">日</span> <span style=""color:#666"">day</span> <span style=""color:#999"">(alias: sun)</span><br><span style=""color:#1a5276"">⺝</span> <span style=""color:#666"">month</span> <span style=""color:#999"">(alias: moon)</span><br><span style=""color:#1a5276"">犬</span> <span style=""color:#666"">pooch</span> <span style=""color:#999"">(alias: chihuahua)</span>",SH: 厌,RTH RTK,RTK3v2::CH02
